UNC_MOD0705	S39901
JHU_TSS_184_1243_1	S12575
JHU_TSS_995_2766_1	S94510
JHU_CFRD_228_10282_1	S36023
UNC_MOD1793	S48385
UNC_MOD2067	S47834
JHU_CFRD_329_10387_1	S56341
JHU_TSS_420_1681_1	S26244
UW_EPIC_35211_1	S74134
JHU_TSS_362_1572_1	S27725
UNC_MOD0638	S22723
UW_EPIC_2615	S38421
UW_EPIC_8586	S91746
JHU_TSS_769_2336_1	S53809
UNC_MOD0562	S11975
UNC_MOD0493	S82195
JHU_TSS_176_112_1	S98012
UNC_MOD1838	S16285
UNC_MOD0598	S15385
UNC_MOD0435	S49344
UNC_MOD2709	S57639
UW_EPIC_118	S88024
UNC_MOD2673	S65917
UNC_MOD2205	S47624
JHU_TSS_994_2896_1	S88786
JHU_TSS_415_1670_1	S65958
UNC_MOD2085	S88032
UW_EPIC_373	S31748
UNC_MOD1613	S87327
UNC_MOD1381	S55394
UNC_MOD0173	S31824
JHU_TSS_987_2751_1	S16365
UNC_MOD0771	S92729
JHU_TSS_311_1477_1	S89629
JHU_TSS_194_1259_1	S43666
UW_EPIC_208	S46795
UNC_MOD1680	S69882
JHU_TSS_1041_2871_1	S25000
JHU_TSS_835_2463_1	S90020
UNC_MOD1658	S37600
UW_EPIC_129	S41641
UNC_MOD2467	S38997
JHU_CFRD_326_10385_1	S95655
UW_EPIC_2142	S64883
UW_EPIC_4686	S68405
JHU_TSS_399_1641_1	S74584
JHU_TSS_585_1989_1	S51580
UW_EPIC_2271	S44908
JHU_TSS_536_1922_1	S64512
UW_EPIC_461	S86354
JHU_TSS_934_2645_1	S83846
UW_EPIC_114_1	S80023
UNC_MOD1089	S15894
UW_EPIC_418	S78131
UNC_MOD1271	S45758
JHU_TSS_21_39_1	S99375
UNC_MOD1683	S97364
JHU_TSS_350_164_1	S58752
UW_EPIC_2576	S79319
UNC_MOD2552	S29467
JHU_TSS_966_2707_1	S80138
UNC_MOD1292	S86294
JHU_TSS_523_1880_1	S18087
JHU_TSS_324_1502_1	S64243
UNC_CFLD3014	S18555
UNC_MOD2649	S84299
UNC_MOD1174	S63959
UW_EPIC_12272	S55951
UW_EPIC_1516	S81349
UW_EPIC_4092	S30715
UNC_MOD1686	S53446
UW_EPIC_34859	S76497
JHU_CFRD_525_10585_1	S23956
UW_EPIC_214	S90883
UNC_MOD1991	S67315
JHU_TSS_298_1452_1	S11034
JHU_TSS_1048_2877_1	S59742
JHU_TSS_537_1904_1	S21081
JHU_TSS_314_1482_1	S31011
JHU_TSS_595_2009_1	S38198
JHU_TSS_360_1570_1	S55259
JHU_TSS_197_1264_1	S68140
UW_EPIC_3570	S14305
UW_EPIC_243	S40410
UNC_MOD2368	S60797
UW_EPIC_14310	S65488
UW_EPIC_3369_1	S76363
UNC_MOD0364	S26834
UNC_MOD0961	S24054
UNC_MOD1988	S48217
JHU_CFRD_299_10358_1	S34774
UNC_MOD1020	S21805
UW_EPIC_3922	S93411
UW_EPIC_3377_2	S27472
UW_EPIC_1578	S40035
UNC_MOD1368	S28342
JHU_TSS_796_2388_1	S28445
UW_EPIC_35237	S82115
UNC_CFLD4010_2	S34715
JHU_TSS_658_2117_1	S11270
JHU_TSS_842_2476_1	S20066
JHU_TSS_363_1574_1	S11588
UNC_MOD1296	S35103
UNC_MOD0428	S41983
JHU_TSS_199_1271_1	S65608
JHU_TSS_440_1723_1	S95317
UNC_MOD0396	S84651
JHU_TSS_877_2543_1	S17230
UNC_MOD0419	S27780
JHU_TSS_677_2159_1	S14429
UNC_MOD1909	S98300
UNC_MOD0329	S34378
UW_EPIC_4422	S71010
JHU_TSS_402_165_1	S82639
JHU_TSS_230_1331_1	S46622
JHU_TSS_36_1010_1	S72621
UNC_MOD2493	S76864
UNC_MOD0787	S49572
UW_EPIC_8917	S81739
JHU_TSS_688_2179_1	S85928
JHU_TSS_400_1644_1	S78154
UW_EPIC_2995	S75697
UW_EPIC_35794	S30017
UW_EPIC_1502	S55001
UW_EPIC_35518	S56139
UNC_MOD1952	S92461
UNC_MOD2239	S59587
UNC_MOD1785	S43076
JHU_TSS_1022_2818_1	S77568
JHU_TSS_987_2825_1	S96843
UW_EPIC_4143	S48022
JHU_TSS_421_1683_1	S53130
JHU_CFRD_498_10558_1	S79300
JHU_TSS_225_132_1	S95203
JHU_TSS_833_2448_1	S50349
JHU_TSS_289_1435_1	S97757
UNC_MOD0408	S32971
UNC_MOD1684	S94681
JHU_TSS_341_1535_1	S82937
UNC_MOD0441	S75938
UNC_CFLD9926	S84477
UW_EPIC_464	S21426
UNC_CFLD4004	S76679
UW_EPIC_2304	S37212
UW_EPIC_2244	S58134
UW_EPIC_159	S59671
UNC_MOD1755	S13538
JHU_TSS_11_21_1	S41355
UW_EPIC_3410	S69708
JHU_TSS_290_1437_1	S74934
UNC_MOD1231	S36260
UNC_MOD0498	S63347
UNC_MOD0310	S51818
UNC_MOD0751	S93023
UW_EPIC_3637	S91149
UW_EPIC_3366	S23719
UNC_MOD0115	S71243
JHU_TSS_130_1162_1	S72609
UNC_MOD0133	S56028
UNC_MOD0917	S77474
UNC_MOD1541	S35171
JHU_TSS_715_2225_1	S44015
UNC_MOD1284	S37286
JHU_TSS_284_1417_1	S44973
JHU_TSS_311_1506_1	S35117
UNC_MOD1868	S25404
UNC_MOD1564	S38204
UW_EPIC_423	S42696
UW_EPIC_3584	S89748
JHU_TSS_563_1957_1	S16266
UNC_MOD1018	S77799
UNC_MOD2491	S70821
JHU_TSS_1008_2815_1	S69387
UNC_MOD0502	S74529
UNC_MOD0764	S13461
UNC_MOD2090	S54050
UW_EPIC_13983	S81042
JHU_TSS_1025_2823_1	S34177
JHU_TSS_918_2622_1	S84994
UW_EPIC_4788	S94210
UNC_CFLD9903	S52422
JHU_TSS_654_2108_1	S30195
UNC_MOD1158	S49262
UNC_MOD2443	S27083
UW_EPIC_1942	S85093
JHU_TSS_608_2038_1	S51745
JHU_TSS_283_1512_1	S61878
JHU_TSS_633_2079_1	S47765
JHU_TSS_375_1594_1	S43994
JHU_TSS_441_1725_1	S92071
UW_EPIC_428	S76778
JHU_TSS_375_1595_1	S47157
UNC_MOD0589	S70150
JHU_TSS_393_1626_1	S20987
UNC_MOD2651	S23860
JHU_TSS_6_12_1	S72116
JHU_TSS_127_1158_1	S91381
JHU_TSS_973_2721_1	S58481
UW_EPIC_116	S31127
UNC_MOD0444	S44544
JHU_TSS_855_2555_1	S50966
JHU_TSS_221_1315_1	S50577
JHU_CFRD_540_10600_1	S96204
UNC_MOD0948	S37083
JHU_TSS_691_2186_1	S14521
